Season,Seed,TeamID
2025,W01,1101
2025,W02,1094
2025,W03,1122
2025,W04,1123
2025,W05,1083
2025,W06,1091
2025,W07,1015
2025,W08,1086
2025,W09,1092
2025,W10,1040
2025,W11a,1102
2025,W11b,1037
2025,W12,1020
2025,W13,1080
2025,W14,1035
2025,W15,1014
2025,W16a,1016
2025,W16b,1026
2025,X01,1104
2025,X02,1118
2025,X03,1125
2025,X04,1132
2025,X05,1029
2025,X06,1028
2025,X07,1023
2025,X08,1041
2025,X09,1025
2025,X10,1133
2025,X11,1037
2025,X12,1116
2025,X13,1018
2025,X14,1042
2025,X15,1027
2025,X16,1105
2025,Y01,1126
2025,Y02,1124
2025,Y03,1134
2025,Y04,1141
2025,Y05,1098
2025,Y06,1137
2025,Y07,1131
2025,Y08,1111
2025,Y09,1036
2025,Y10,1136
2025,Y11a,1106
2025,Y11b,1062
2025,Y12,1052
2025,Y13,1030
2025,Y14,1071
2025,Y15,1031
2025,Y16,1108
2025,Z01,1135
2025,Z02,1143
2025,Z03,1140
2025,Z04,1146
2025,Z05,1129
2025,Z06,1138
2025,Z07,1065
2025,Z08,1060
2025,Z09,1113
2025,Z10,1069
2025,Z11,1062
2025,Z12,1128
2025,Z13,1070
2025,Z14,1147
2025,Z15,1049
2025,Z16a,1048
2025,Z16b,1058
