Season,Seed,TeamID
2008,W01,13
2008,X01,31
2008,Y01,37
2008,Z01,43
2008,W02,15
2008,X02,16
2008,Y02,47
2008,Z02,49
2008,W03,1
2008,X03,2
2008,Y03,18
2008,Z03,39
2008,W04,6
2008,X04,8
2008,Y04,26
2008,Z04,54
2008,W05,30
2008,X05,35
2008,Y05,50
2008,Z05,55
2008,W06,10
2008,X06,24
2008,Y06,29
2008,Z06,38
2008,W07,5
2008,X07,36
2008,Y07,45
2008,Z07,58
2008,W08,11
2008,X08,34
2008,Y08,44
2008,Z08,57
2008,W09,14
2008,X09,27
2008,Y09,41
2008,Z09,63
2008,W10,19
2008,X10,22
2008,Y10,51
2008,Z10,64
2008,W11,23
2008,X11,40
2008,Y11,42
2008,Z11,61
2008,W12,4
2008,X12,7
2008,Y12,17
2008,Z12,48
2008,W13,3
2008,X13,20
2008,Y13,21
2008,Z13,28
2008,W14,46
2008,X14,52
2008,Y14,56
2008,Z14,59
2008,W15,12
2008,X15,60
2008,Y15,62
2008,Z15,65
2008,W16,9
2008,X16,25
2008,Y16,32
2008,Z16,33
2009,W01,89
2009,X01,95
2009,Y01,107
2009,Z01,116
2009,W02,91
2009,X02,101
2009,Y02,103
2009,Z02,113
2009,W03,72
2009,X03,82
2009,Y03,98
2009,Z03,108
2009,W04,66
2009,X04,70
2009,Y04,71
2009,Z04,110
2009,W05,75
2009,X05,87
2009,Y05,109
2009,Z05,111
2009,W06,69
2009,X06,77
2009,Y06,105
2009,Z06,126
2009,W07,79
2009,X07,118
2009,Y07,120
2009,Z07,124
2009,W08,90
2009,X08,92
2009,Y08,106
2009,Z08,122
2009,W09,78
2009,X09,80
2009,Y09,84
2009,Z09,123
2009,W10,76
2009,X10,100
2009,Y10,102
2009,Z10,104
2009,W11,73
2009,X11,74
2009,Y11,81
2009,Z11,114
2009,W12,67
2009,X12,68
2009,Y12,93
2009,Z12,127
2009,W13,88
2009,X13,99
2009,Y13,117
2009,Z13,130
2009,W14,83
2009,X14,94
2009,Y14,115
2009,Z14,128
2009,W15,85
2009,X15,96
2009,Y15,121
2009,Z15,125
2009,W16,86
2009,X16,97
2009,Y16,112
2009,Z16,119
2010,W01,149
2010,X01,178
2010,Y01,180
2010,Z01,188
2010,W02,135
2010,X02,138
2010,Y02,160
2010,Z02,179
2010,W03,157
2010,X03,167
2010,Y03,184
2010,Z03,194
2010,W04,133
2010,X04,140
2010,Y04,156
2010,Z04,174
2010,W05,145
2010,X05,148
2010,Y05,173
2010,Z05,193
2010,W06,131
2010,X06,147
2010,Y06,163
2010,Z06,175
2010,W07,155
2010,X07,159
2010,Y07,190
2010,Z07,192
2010,W08,143
2010,X08,146
2010,Y08,182
2010,Z08,191
2010,W09,137
2010,X09,164
2010,Y09,176
2010,Z09,185
2010,W10,153
2010,X10,171
2010,Y10,183
2010,Z10,186
2010,W11,136
2010,X11,151
2010,Y11,158
2010,Z11,172
2010,W12,141
2010,X12,142
2010,Y12,166
2010,Z12,189
2010,W13,132
2010,X13,150
2010,Y13,168
2010,Z13,181
2010,W14,152
2010,X14,161
2010,Y14,162
2010,Z14,170
2010,W15,144
2010,X15,154
2010,Y15,165
2010,Z15,169
2010,W16,139
2010,X16,177
2010,Y16,187
2010,Z16,195
2011,W01,223
2011,X01,226
2011,Y01,242
2011,Z01,252
2011,W02,218
2011,X02,228
2011,Y02,230
2011,Z02,251
2011,W03,216
2011,X03,221
2011,Y03,253
2011,Z03,256
2011,W04,198
2011,X04,213
2011,Y04,237
2011,Z04,240
2011,W05,199
2011,X05,203
2011,Y05,241
2011,Z05,261
2011,W06,196
2011,X06,217
2011,Y06,248
2011,Z06,255
2011,W07,200
2011,X07,209
2011,Y07,212
2011,Z07,215
2011,W08,207
2011,X08,234
2011,Y08,249
2011,Z08,257
2011,W09,201
2011,X09,214
2011,Y09,225
2011,Z09,244
2011,W10,224
2011,X10,233
2011,Y10,247
2011,Z10,250
2011,W11,202
2011,X11,232
2011,Y11,236
2011,Z11,246
2011,W12,205
2011,X12,220
2011,Y12,235
2011,Z12,254
2011,W13,222
2011,X13,227
2011,Y13,231
2011,Z13,260
2011,W14,197
2011,X14,219
2011,Y14,243
2011,Z14,258
2011,W15,210
2011,X15,229
2011,Y15,238
2011,Z15,263
2011,W16,204
2011,X16,208
2011,Y16,245
2011,Z16,259
2012,W01,277
2012,X01,290
2012,Y01,298
2012,Z01,308
2012,W02,286
2012,X02,296
2012,Y02,310
2012,Z02,319
2012,W03,301
2012,X03,316
2012,Y03,317
2012,Z03,330
2012,W04,265
2012,X04,299
2012,Y04,303
2012,Z04,313
2012,W05,266
2012,X05,272
2012,Y05,276
2012,Z05,293
2012,W06,273
2012,X06,282
2012,Y06,294
2012,Z06,326
2012,W07,283
2012,X07,288
2012,Y07,315
2012,Z07,318
2012,W08,300
2012,X08,309
2012,Y08,311
2012,Z08,322
2012,W09,279
2012,X09,284
2012,Y09,323
2012,Z09,331
2012,W10,264
2012,X10,268
2012,Y10,269
2012,Z10,285
2012,W11,275
2012,X11,289
2012,Y11,324
2012,Z11,325
2012,W12,271
2012,X12,280
2012,Y12,304
2012,Z12,314
2012,W13,287
2012,X13,292
2012,Y13,295
2012,Z13,321
2012,W14,278
2012,X14,281
2012,Y14,328
2012,Z14,329
2012,W15,291
2012,X15,302
2012,Y15,306
2012,Z15,320
2012,W16,267
2012,X16,270
2012,Y16,274
2012,Z16,305
2013,W01,370
2013,X01,375
2013,Y01,379
2013,Z01,382
2013,W02,352
2013,X02,367
2013,Y02,383
2013,Z02,386
2013,W03,359
2013,X03,365
2013,Y03,369
2013,Z03,385
2013,W04,341
2013,X04,346
2013,Y04,366
2013,Z04,374
2013,W05,332
2013,X05,336
2013,Y05,338
2013,Z05,350
2013,W06,339
2013,X06,368
2013,Y06,393
2013,Z06,397
2013,W07,344
2013,X07,353
2013,Y07,380
2013,Z07,388
2013,W08,347
2013,X08,355
2013,Y08,357
2013,Z08,389
2013,W09,333
2013,X09,335
2013,Y09,340
2013,Z09,361
